geoid,county_name,category,poverty,alice,above_alice
48355,Nueces,over_65,4237,11922,15101
48357,Ochiltree,single_cohab,136,523,728
48357,Ochiltree,fam_kids,216,338,806
48357,Ochiltree,over_65,86,269,341
48359,Oldham,single_cohab,21,45,148
48359,Oldham,fam_kids,19,7,122
48359,Oldham,over_65,15,67,83
48361,Orange,single_cohab,1325,3225,7968
48361,Orange,fam_kids,1706,1859,5869
48361,Orange,over_65,432,3176,4487
48363,Palo Pinto,single_cohab,767,1461,2310
48363,Palo Pinto,fam_kids,585,577,1345
48363,Palo Pinto,over_65,359,1384,1524
48365,Panola,single_cohab,487,1022,2401
48365,Panola,fam_kids,507,272,1643
48365,Panola,over_65,285,964,1246
48367,Parker,single_cohab,1924,6077,12272
48367,Parker,fam_kids,1363,2896,9837
48367,Parker,over_65,1378,3342,7149
48369,Parmer,single_cohab,113,367,919
48369,Parmer,fam_kids,245,216,682
48369,Parmer,over_65,100,379,297
48371,Pecos,single_cohab,193,821,1047
48371,Pecos,fam_kids,173,507,613
48371,Pecos,over_65,295,400,508
48373,Polk,single_cohab,1188,2667,4138
48373,Polk,fam_kids,1251,674,2409
48373,Polk,over_65,614,1776,3086
48375,Potter,single_cohab,4279,8076,10291
48375,Potter,fam_kids,3709,2805,7007
48375,Potter,over_65,1197,3898,4288
48377,Presidio,single_cohab,96,533,341
48377,Presidio,fam_kids,226,213,186
48377,Presidio,over_65,550,306,176
48379,Rains,single_cohab,163,377,1079
48379,Rains,fam_kids,102,221,679
48379,Rains,over_65,279,648,783
48381,Randall,single_cohab,1447,4851,15567
48381,Randall,fam_kids,1539,2341,11137
48381,Randall,over_65,540,4896,7139
48383,Reagan,single_cohab,47,95,363
48383,Reagan,fam_kids,72,94,297
48383,Reagan,over_65,12,56,111
48385,Real,single_cohab,139,148,176
48385,Real,fam_kids,50,50,48
48385,Real,over_65,78,288,250
48387,Red River,single_cohab,380,700,1293
48387,Red River,fam_kids,296,92,507
48387,Red River,over_65,347,651,782
48389,Reeves,single_cohab,231,816,572
48389,Reeves,fam_kids,165,406,551
48389,Reeves,over_65,160,414,398
48391,Refugio,single_cohab,125,344,483
48391,Refugio,fam_kids,208,129,336
48391,Refugio,over_65,119,361,472
48393,Roberts,single_cohab,6,31,76
48393,Roberts,fam_kids,,,
48393,Roberts,over_65,6,21,75
48395,Robertson,single_cohab,456,943,1425
48395,Robertson,fam_kids,274,204,1101
48395,Robertson,over_65,225,708,1022
48397,Rockwall,single_cohab,738,3802,8012
48397,Rockwall,fam_kids,814,2920,8992
48397,Rockwall,over_65,351,2612,3408
48399,Runnels,single_cohab,146,517,866
48399,Runnels,fam_kids,183,285,484
48399,Runnels,over_65,197,515,556
48401,Rusk,single_cohab,864,2045,4203
48401,Rusk,fam_kids,896,1399,3222
48401,Rusk,over_65,649,2340,2342
48403,Sabine,single_cohab,288,483,796
48403,Sabine,fam_kids,261,120,296
48403,Sabine,over_65,200,914,741
48405,San Augustine,single_cohab,371,383,501
48405,San Augustine,fam_kids,263,68,471
48405,San Augustine,over_65,140,566,593
48407,San Jacinto,single_cohab,440,1355,2024
48407,San Jacinto,fam_kids,399,629,993
48407,San Jacinto,over_65,432,1644,1571
48409,San Patricio,single_cohab,1060,2560,5783
48409,San Patricio,fam_kids,1890,1329,4591
48409,San Patricio,over_65,851,2022,3035
48411,San Saba,single_cohab,140,242,397
48411,San Saba,fam_kids,94,182,248
